access_point_id,stop_id,raw_stop_id,stop_name,mode,source_feed,district,in_system_a,in_system_b
iett_5249509__bus,iett_5249509,5249509,SOĞANLIK MERKEZ,bus,iett_gtfs,Kartal,True,False
iett_5249746__bus,iett_5249746,5249746,HASAN FERRUH ÖZGEN ANADOLU LİSESİ,bus,iett_gtfs,Kartal,True,False
iett_5249548__bus,iett_5249548,5249548,ÇANAKKALE ŞEHİTLERİ CAMİİ,bus,iett_gtfs,Pendik,True,False
iett_5249718__bus,iett_5249718,5249718,SELÇUK CADDESİ,bus,iett_gtfs,Sultanbeyli,True,False
iett_5249517__bus,iett_5249517,5249517,BOZGOCA KÖYÜ GİRİŞİ,bus,iett_gtfs,Şile,True,False
iett_5249561__bus,iett_5249561,5249561,ÖMER ÇAM ANADOLU İMAM HATİP LİSESİ,bus,iett_gtfs,Pendik,True,False
iett_909491__bus,iett_909491,909491,ÖMER ÇAM ANADOLU İMAM HATİP LİSESİ,bus,iett_gtfs,Pendik,True,False
iett_5249608__bus,iett_5249608,5249608,SANCAKTEPE GENÇLİK MERKEZİ,bus,iett_gtfs,Sancaktepe,True,False
iett_5249611__bus,iett_5249611,5249611,NECİP FAZIL METRO,bus,iett_gtfs,Ümraniye,True,False
iett_580515__bus,iett_580515,580515,NECİP FAZIL METRO,bus,iett_gtfs,Ümraniye,True,False
iett_5250735__bus,iett_5250735,5250735,NECİP FAZIL METRO,bus,iett_gtfs,Ümraniye,True,False
iett_5249614__bus,iett_5249614,5249614,SULTANBEYLİ İLÇE EMNİYET MÜDÜRLÜĞÜ,bus,iett_gtfs,Sultanbeyli,True,False
iett_5249854__bus,iett_5249854,5249854,MOSTAR BULVARI,bus,iett_gtfs,Pendik,True,False
iett_5249755__bus,iett_5249755,5249755,ATALAR MARMARAY,bus,iett_gtfs,Kartal,True,False
iett_5249856__bus,iett_5249856,5249856,ALTINŞEHİR METRO,bus,iett_gtfs,Ümraniye,True,False
iett_5249773__bus,iett_5249773,5249773,ZALOĞLU RÜSTEM CADDESİ,bus,iett_gtfs,Sancaktepe,True,False
iett_5249769__bus,iett_5249769,5249769,VEYSEL KARANİ MAHALLE MUHTARLIĞI,bus,iett_gtfs,Sancaktepe,True,False
iett_5249831__bus,iett_5249831,5249831,HAYVAN BARINAĞI,bus,iett_gtfs,Pendik,True,False
iett_5249804__bus,iett_5249804,5249804,PLATİN ÇIKMAZI,bus,iett_gtfs,Çekmeköy,True,False
iett_5249832__bus,iett_5249832,5249832,YEŞİL CAMİİ,bus,iett_gtfs,Beykoz,True,False
iett_5249958__bus,iett_5249958,5249958,YENİKÖY ÇIKIŞI,bus,iett_gtfs,Şile,True,False
iett_5249912__bus,iett_5249912,5249912,MİLLET CADDESİ,bus,iett_gtfs,Pendik,True,False
iett_5249916__bus,iett_5249916,5249916,ÇAVUŞBAŞI SPOR TESİSLERİ,bus,iett_gtfs,Beykoz,True,False
iett_5249917__bus,iett_5249917,5249917,ÇAVUŞBAŞI SPOR TESİSLERİ,bus,iett_gtfs,Beykoz,True,False
iett_5249956__bus,iett_5249956,5249956,TESBİH SOKAK,bus,iett_gtfs,Sultanbeyli,True,False
iett_5249930__bus,iett_5249930,5249930,KIŞLA CADDESİ,bus,iett_gtfs,Çekmeköy,True,False
iett_5249928__bus,iett_5249928,5249928,ŞEHİR YOLU SOKAK,bus,iett_gtfs,Pendik,True,False
iett_292609__bus,iett_292609,292609,SALKIM SOKAK,bus,iett_gtfs,Beykoz,True,False
iett_510950__bus,iett_510950,510950,UZUNÇAYIR METROBÜS,bus,iett_gtfs,Üsküdar,True,False
iett_510950__metrobus,iett_510950,510950,UZUNÇAYIR METROBÜS,metrobus,iett_gtfs,Üsküdar,True,True
iett_5250537__bus,iett_5250537,5250537,EDEBALİ CADDESİ,bus,iett_gtfs,Tuzla,True,False
iett_5249945__bus,iett_5249945,5249945,KURTKÖY GARAJI,bus,iett_gtfs,Pendik,True,False
iett_5251604__bus,iett_5251604,5251604,KURTKÖY GARAJI,bus,iett_gtfs,Pendik,True,False
iett_5249975__bus,iett_5249975,5249975,KAYNARCA SONDURAK,bus,iett_gtfs,Pendik,True,False
iett_5249976__bus,iett_5249976,5249976,SEYİT ONBAŞI SOKAK,bus,iett_gtfs,Üsküdar,True,False
iett_5249986__bus,iett_5249986,5249986,YEŞİLTEPE SON DURAK,bus,iett_gtfs,Çekmeköy,True,False
iett_5249987__bus,iett_5249987,5249987,SEDİR SOKAK,bus,iett_gtfs,Şile,True,False
iett_5249988__bus,iett_5249988,5249988,SEDİR SOKAK,bus,iett_gtfs,Şile,True,False
iett_5249989__bus,iett_5249989,5249989,SEDİR SOKAK,bus,iett_gtfs,Şile,True,False
iett_5250020__bus,iett_5250020,5250020,NECİP FAZIL KISAKÜREK CADDESİ,bus,iett_gtfs,Çekmeköy,True,False
iett_994__bus,iett_994,994,AKDENİZ CADDESİ,bus,iett_gtfs,Pendik,True,False
iett_5250101__bus,iett_5250101,5250101,AKDENİZ CADDESİ,bus,iett_gtfs,Pendik,True,False
iett_5250031__bus,iett_5250031,5250031,VATANSEVER CADDESİ,bus,iett_gtfs,Kartal,True,False
