feature,n_valid,n_missing,min,p5,p25,median,p75,p95,max,mean,std,iqr,zero_prevalence_pct,skewness,n_unique,flag_extreme_skew,flag_near_zero_variance,flag_very_sparse
pct_area_slope_lt_3deg,22322,0,0.0,0.7352941176470588,4.411764705882353,13.23529411764706,37.109375,88.92733564013841,100.0,24.953674758864068,27.358418387055195,32.697610294117645,2.15,1.306,1704,False,False,False
pct_area_slope_3_6deg,22322,0,0.0,2.422145328719723,11.029411764705882,23.046875,38.970588235294116,60.553633217993074,98.89705882352942,26.309582286021886,18.572251186787227,27.941176470588232,2.27,0.708,1682,False,False,False
pct_area_slope_6_10deg,22322,0,0.0,0.0,9.558823529411764,21.79930795847751,33.978847287735846,49.82698961937716,88.92733564013841,22.65924578632505,15.750471850253934,24.42002375832408,8.51,0.352,1493,False,False,False
pct_area_slope_gt_10deg,22322,0,0.0,0.0,0.3676470588235294,14.705882352941178,47.40484429065744,81.66089965397923,100.0,26.077497168788994,28.246603261629176,47.03719723183391,23.87,0.812,1620,False,False,False
metro_station_count,22322,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.005331063524773766,0.07583461908135486,0.0,99.49,15.095,3,True,False,True
distance_to_nearest_metro_m,22322,0,4.442125223203434,1136.1510552511209,9890.298528113908,24088.15037341084,45204.87952418759,62853.997751643976,76333.52255614434,27947.886411355757,20407.093503441836,35314.58099607368,0.0,0.382,22322,False,False,False
tram_station_count,22322,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0027775288952602813,0.0575112914189416,0.0,99.75,22.936,3,True,False,True
distance_to_nearest_tram_m,22322,0,15.223401035752854,4512.40660656913,17902.374430671112,32593.448633097734,52822.6266819042,69243.51879735441,78780.42477891014,35199.18699145375,20629.77000135543,34920.25225123309,0.0,0.204,22322,False,False,False
rail_station_count,22322,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0018815518322730937,0.04333700187496177,0.0,99.81,22.989,2,True,False,True
distance_to_nearest_rail_m,22322,0,10.77535667309778,2462.177867476454,12897.683898665622,25001.62485719961,40706.50943384338,56299.53257064059,71244.25886222077,27183.504048208044,17108.615841153478,27808.825535177755,0.0,0.314,22322,False,False,False
ferry_terminal_count,22322,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0018815518322730937,0.05676373434514242,0.0,99.86,39.583,5,True,False,True
distance_to_nearest_ferry_m,22322,0,80.93578387329364,2949.602634994757,11911.67095907967,24907.847108066002,41156.014998600556,58586.83651495847,72498.92934038228,27123.67892441322,17660.12767249678,29244.344039520885,0.0,0.388,22322,False,False,False
metrobus_station_count,22322,0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.014918018098736672,0.19376420694880514,0.0,99.18,19.186,8,True,False,True
