cluster,feature,raw_median,raw_q1,raw_q3,raw_iqr,citywide_percentile_of_cluster_median,pct_deviation_from_50
4,distance_to_nearest_ferry_m,46477.06451745212,39693.7350820802,53266.396952534225,13572.661870454023,82.8,32.8
0,metrobus_station_count,0.0,0.0,0.0,0.0,49.6,0.4
1,metrobus_station_count,0.0,0.0,0.0,0.0,49.6,0.4
2,metrobus_station_count,0.0,0.0,0.0,0.0,49.6,0.4
3,metrobus_station_count,0.0,0.0,0.0,0.0,49.6,0.4
4,metrobus_station_count,0.0,0.0,0.0,0.0,49.6,0.4
0,distance_to_nearest_metrobus_m,5561.764691391432,2521.9217616614633,10620.375793366758,8098.454031705295,18.3,31.7
1,distance_to_nearest_metrobus_m,16456.67279126914,9923.36894301682,22365.222195813076,12441.853252796256,41.4,8.6
2,distance_to_nearest_metrobus_m,2205.964856167035,845.8468072290573,5019.44463473683,4173.597827507773,8.1,41.9
3,distance_to_nearest_metrobus_m,2711.475639737733,1534.3103374178963,4317.000618640548,2782.6902812226517,9.9,40.1
4,distance_to_nearest_metrobus_m,44678.89821569306,37400.85682924416,51471.90303772551,14071.046208481348,82.9,32.9
0,distance_to_nearest_transit_m,839.3853899337493,433.9813905144524,2247.193839122926,1813.2124486084736,21.9,28.1
1,distance_to_nearest_transit_m,4355.667888176684,1449.8390267950501,14534.32256426981,13084.48353747476,46.3,3.7
2,distance_to_nearest_transit_m,148.96864192707778,95.00025190887362,202.7834146568547,107.78316274798107,4.0,46.0
3,distance_to_nearest_transit_m,433.1263566763792,281.9764268546644,732.4858971727431,450.5094703180787,13.3,36.7
4,distance_to_nearest_transit_m,37356.87706729314,27037.639922283368,46235.74817748346,19198.10825520009,82.9,32.9
0,transit_stops_within_500m,0.0,0.0,1.0,1.0,42.5,7.5
1,transit_stops_within_500m,0.0,0.0,0.0,0.0,42.5,7.5
2,transit_stops_within_500m,7.0,5.0,11.0,6.0,95.9,45.9
3,transit_stops_within_500m,1.0,0.0,2.0,2.0,86.5,36.5
4,transit_stops_within_500m,0.0,0.0,0.0,0.0,42.5,7.5
0,transit_stops_within_1000m,1.0,0.0,8.0,8.0,76.9,26.9
1,transit_stops_within_1000m,0.0,0.0,0.0,0.0,37.7,12.3
2,transit_stops_within_1000m,25.0,15.0,34.0,19.0,95.8,45.8
3,transit_stops_within_1000m,3.0,1.0,13.0,12.0,82.4,32.4
4,transit_stops_within_1000m,0.0,0.0,0.0,0.0,37.7,12.3
0,fixed_guideway_stations_within_1000m,0.0,0.0,0.0,0.0,46.8,3.2
1,fixed_guideway_stations_within_1000m,0.0,0.0,0.0,0.0,46.8,3.2
2,fixed_guideway_stations_within_1000m,0.0,0.0,1.0,1.0,46.8,3.2
3,fixed_guideway_stations_within_1000m,1.0,0.0,3.0,3.0,95.2,45.2
4,fixed_guideway_stations_within_1000m,0.0,0.0,0.0,0.0,46.8,3.2
0,unique_rail_lines,0.0,0.0,0.0,0.0,49.5,0.5
1,unique_rail_lines,0.0,0.0,0.0,0.0,49.5,0.5
2,unique_rail_lines,0.0,0.0,0.0,0.0,49.5,0.5
3,unique_rail_lines,0.0,0.0,0.0,0.0,49.5,0.5
4,unique_rail_lines,0.0,0.0,0.0,0.0,49.5,0.5
0,bus_departures_per_day,0.0,0.0,0.0,0.0,45.9,4.1
1,bus_departures_per_day,0.0,0.0,0.0,0.0,45.9,4.1
2,bus_departures_per_day,134.0,45.0,354.5,309.5,96.6,46.6
3,bus_departures_per_day,0.0,0.0,0.0,0.0,45.9,4.1
4,bus_departures_per_day,0.0,0.0,0.0,0.0,45.9,4.1
0,bus_departures_peak_hour,0.0,0.0,0.0,0.0,49.7,0.3
1,bus_departures_peak_hour,0.0,0.0,0.0,0.0,49.7,0.3
2,bus_departures_peak_hour,0.0,0.0,0.0,0.0,49.7,0.3
3,bus_departures_peak_hour,0.0,0.0,0.0,0.0,49.7,0.3
4,bus_departures_peak_hour,0.0,0.0,0.0,0.0,49.7,0.3
0,cycle_infrastructure_density_km_per_km2_ibb_only,0.0,0.0,0.0,0.0,48.0,2.0
1,cycle_infrastructure_density_km_per_km2_ibb_only,0.0,0.0,0.0,0.0,48.0,2.0
2,cycle_infrastructure_density_km_per_km2_ibb_only,0.0,0.0,0.0,0.0,48.0,2.0
3,cycle_infrastructure_density_km_per_km2_ibb_only,0.0,0.0,0.0,0.0,48.0,2.0
4,cycle_infrastructure_density_km_per_km2_ibb_only,0.0,0.0,0.0,0.0,48.0,2.0
0,protected_cycleway_density_km_per_km2_ibb_only,0.0,0.0,0.0,0.0,48.4,1.6
1,protected_cycleway_density_km_per_km2_ibb_only,0.0,0.0,0.0,0.0,48.4,1.6
2,protected_cycleway_density_km_per_km2_ibb_only,0.0,0.0,0.0,0.0,48.4,1.6
3,protected_cycleway_density_km_per_km2_ibb_only,0.0,0.0,0.0,0.0,48.4,1.6
4,protected_cycleway_density_km_per_km2_ibb_only,0.0,0.0,0.0,0.0,48.4,1.6
0,distance_to_nearest_cycle_infrastructure_m_ibb_only,1176.8019302856078,473.4256363095532,2696.5756629842135,2223.1500266746602,13.7,36.3
1,distance_to_nearest_cycle_infrastructure_m_ibb_only,5589.239495887263,2903.047171648098,9780.94968936937,6877.9025177212725,43.1,6.9
2,distance_to_nearest_cycle_infrastructure_m_ibb_only,1477.9523840895713,673.8652517482715,2705.0703943719313,2031.2051426236599,16.6,33.4
3,distance_to_nearest_cycle_infrastructure_m_ibb_only,729.4985976344465,297.3049985107149,1314.1751650264366,1016.8701665157217,8.9,41.1
4,distance_to_nearest_cycle_infrastructure_m_ibb_only,20161.95808567436,14186.500942147532,27846.094727617317,13659.593785469786,82.9,32.9
0,distance_to_nearest_bicycle_parking_m,2298.4997187197805,1205.8537602476126,4810.371074427666,3604.5173141800533,14.7,35.3
1,distance_to_nearest_bicycle_parking_m,10278.19311505455,5503.297607316146,15841.172697371883,10337.875090055737,41.5,8.5
2,distance_to_nearest_bicycle_parking_m,1808.43953697195,912.7567692629049,3437.836201706461,2525.079432443556,11.7,38.3
3,distance_to_nearest_bicycle_parking_m,1012.2260793490343,628.7288220859839,1517.1713885650465,888.4425664790626,5.8,44.2
4,distance_to_nearest_bicycle_parking_m,37850.507588588065,30658.261689998326,46090.89784774283,15432.636157744506,82.9,32.9
0,bicycle_parking_count,0.0,0.0,0.0,0.0,49.7,0.3
1,bicycle_parking_count,0.0,0.0,0.0,0.0,49.7,0.3
2,bicycle_parking_count,0.0,0.0,0.0,0.0,49.7,0.3
3,bicycle_parking_count,0.0,0.0,0.0,0.0,49.7,0.3
4,bicycle_parking_count,0.0,0.0,0.0,0.0,49.7,0.3
0,distance_to_nearest_micromobility_parking_m,6546.9037667005605,2846.409503678626,12577.07984171306,9730.670338034435,15.6,34.4
1,distance_to_nearest_micromobility_parking_m,18479.90753426426,12127.853183287669,25428.986941162686,13301.133757875017,40.7,9.3
2,distance_to_nearest_micromobility_parking_m,6727.020599094932,2815.6446812122667,12256.164653312044,9440.519972099777,16.0,34.0
3,distance_to_nearest_micromobility_parking_m,2709.6157235445803,848.0357881341596,5575.536256198432,4727.500468064272,6.4,43.6
4,distance_to_nearest_micromobility_parking_m,48608.00113524702,41725.24131844379,55261.152402042644,13535.911083598854,82.9,32.9
0,micromobility_parking_count,0.0,0.0,0.0,0.0,49.8,0.2
1,micromobility_parking_count,0.0,0.0,0.0,0.0,49.8,0.2
2,micromobility_parking_count,0.0,0.0,0.0,0.0,49.8,0.2
3,micromobility_parking_count,0.0,0.0,0.0,0.0,49.8,0.2
4,micromobility_parking_count,0.0,0.0,0.0,0.0,49.8,0.2
0,building_coverage_ratio,0.07176343456858758,0.019986969731435447,0.16264275036947076,0.1426557806380353,86.1,36.1
1,building_coverage_ratio,0.0,0.0,0.0,0.0,32.6,17.4
2,building_coverage_ratio,0.1393927846818906,0.055999640194732414,0.23058558492549563,0.17458594473076322,90.5,40.5
3,building_coverage_ratio,0.2731267638684277,0.20472189424068582,0.3754913053721426,0.17076941113145677,96.3,46.3
4,building_coverage_ratio,0.0,0.0,0.0,0.0,32.6,17.4
