cluster,feature,raw_median,raw_q1,raw_q3,raw_iqr,citywide_percentile_of_cluster_median,pct_deviation_from_50
2,metro_station_count,0.0,0.0,0.0,0.0,49.7,0.3
3,metro_station_count,0.0,0.0,0.0,0.0,49.7,0.3
4,metro_station_count,0.0,0.0,0.0,0.0,49.7,0.3
5,metro_station_count,0.0,0.0,0.0,0.0,49.7,0.3
6,metro_station_count,0.0,0.0,0.0,0.0,49.7,0.3
0,distance_to_nearest_metro_m,4956.727899329118,1677.027032147112,11022.898416585116,9345.871384438004,14.6,35.4
1,distance_to_nearest_metro_m,1204.5590719924564,643.1331698724351,2221.903274247648,1578.7701043752127,5.3,44.7
2,distance_to_nearest_metro_m,1373.5495829143802,693.0239617991389,4074.1548468866704,3381.1308850875316,5.9,44.1
3,distance_to_nearest_metro_m,2274.5123605087524,939.1152142525195,7058.501713459896,6119.386499207376,9.1,40.9
4,distance_to_nearest_metro_m,51725.23461007156,43769.462526038085,59514.59775604488,15745.135230006796,82.4,32.4
5,distance_to_nearest_metro_m,8802.31008053986,2972.948533566195,15125.990145428143,12153.041611861947,22.7,27.3
6,distance_to_nearest_metro_m,18085.273043175664,10739.306467786748,26175.293878153847,15435.987410367099,40.7,9.3
0,tram_station_count,0.0,0.0,0.0,0.0,49.9,0.1
1,tram_station_count,0.0,0.0,0.0,0.0,49.9,0.1
2,tram_station_count,0.0,0.0,0.0,0.0,49.9,0.1
3,tram_station_count,0.0,0.0,0.0,0.0,49.9,0.1
4,tram_station_count,0.0,0.0,0.0,0.0,49.9,0.1
5,tram_station_count,0.0,0.0,0.0,0.0,49.9,0.1
6,tram_station_count,0.0,0.0,0.0,0.0,49.9,0.1
0,distance_to_nearest_tram_m,15139.883236490085,7164.8227955728125,21852.0175422898,14687.194746716987,19.8,30.2
1,distance_to_nearest_tram_m,2337.0329392960602,701.1991570316233,8826.257864446037,8125.058707414414,2.7,47.3
2,distance_to_nearest_tram_m,7295.024052417884,2767.7505941990794,15173.699234065258,12405.94863986618,8.2,41.8
3,distance_to_nearest_tram_m,10904.902852967694,5077.841540124541,19587.355717644663,14509.514177520123,13.0,37.0
4,distance_to_nearest_tram_m,58924.25775976025,51327.06147477835,66260.65905240146,14933.597577623113,82.4,32.4
5,distance_to_nearest_tram_m,17712.89510783802,10314.679041284555,27906.17887227348,17591.499830988923,24.6,25.4
6,distance_to_nearest_tram_m,26398.419566465862,17558.436878653974,34559.787027085375,17001.3501484314,39.5,10.5
0,rail_station_count,0.0,0.0,0.0,0.0,49.9,0.1
1,rail_station_count,0.0,0.0,0.0,0.0,49.9,0.1
2,rail_station_count,0.0,0.0,0.0,0.0,49.9,0.1
3,rail_station_count,0.0,0.0,0.0,0.0,49.9,0.1
4,rail_station_count,0.0,0.0,0.0,0.0,49.9,0.1
5,rail_station_count,0.0,0.0,0.0,0.0,49.9,0.1
6,rail_station_count,0.0,0.0,0.0,0.0,49.9,0.1
0,distance_to_nearest_rail_m,7092.537730475475,3085.7248577345194,11840.38778317104,8754.66292543652,13.7,36.3
1,distance_to_nearest_rail_m,4893.8660805373265,2486.596355734644,7435.283157343619,4948.686801608975,9.5,40.5
2,distance_to_nearest_rail_m,4771.837028783548,2113.300915776527,7980.503614545764,5867.202698769237,9.3,40.7
3,distance_to_nearest_rail_m,5224.235327750487,2119.3265308841374,8700.254402419763,6580.927871535626,10.1,39.9
4,distance_to_nearest_rail_m,46113.64418604424,38933.99463698454,53113.27622468251,14179.281587697966,82.4,32.4
5,distance_to_nearest_rail_m,10295.910799018406,5438.4298581727935,18486.109308557658,13047.679450384865,19.9,30.1
6,distance_to_nearest_rail_m,20741.410524181025,14249.681456621085,26484.818526808915,12235.13707018783,40.9,9.1
0,ferry_terminal_count,0.0,0.0,0.0,0.0,49.9,0.1
1,ferry_terminal_count,0.0,0.0,0.0,0.0,49.9,0.1
2,ferry_terminal_count,0.0,0.0,0.0,0.0,49.9,0.1
3,ferry_terminal_count,0.0,0.0,0.0,0.0,49.9,0.1
